"GlobalElementID","ModelRegionID","Cell Type"
8,1,10
24,1,10
84,1,10
140,1,10
202,1,10
208,1,10
237,1,10
271,1,10
294,1,10
303,1,10
317,1,10
318,1,10
323,1,10
385,1,10
406,1,10
447,1,10
534,1,10
535,1,10
572,1,10
666,1,10
692,1,10
719,1,10
727,1,10
732,1,10
855,1,10
866,1,10
881,1,10
887,1,10
906,1,10
958,1,10
970,1,10
1001,1,10
1130,1,10
1140,1,10
1159,1,10
1192,1,10
1215,1,10
1258,1,10
1303,1,10
1309,1,10
1328,1,10
1343,1,10
1381,1,10
1427,1,10
1547,1,10
1582,1,10
1610,1,10
1704,1,10
1708,1,10
1839,1,10
1904,1,10
1967,1,10
1983,1,10
2017,1,10
2059,1,10
2131,1,10
2307,1,10
2329,1,10
2339,1,10
2354,1,10
2366,1,10
2372,1,10
2379,1,10
2381,1,10
2420,1,10
2427,1,10
2477,1,10
2528,1,10
2549,1,10
2600,1,10
2609,1,10
2613,1,10
2639,1,10
2708,1,10
2710,1,10
2718,1,10
2754,1,10
2770,1,10
2820,1,10
2825,1,10
2827,1,10
2866,1,10
2881,1,10
2944,1,10
2973,1,10
2975,1,10
3002,1,10
3008,1,10
3013,1,10
3014,1,10
3086,1,10
3156,1,10
3158,1,10
3160,1,10
3243,1,10
3266,1,10
3275,1,10
3469,1,10
3497,1,10
3510,1,10
3516,1,10
3517,1,10
3518,1,10
3552,1,10
3569,1,10
3590,1,10
3604,1,10
3722,1,10
3776,1,10
3781,1,10
3795,1,10
3818,1,10
3836,1,10
3854,1,10
3908,1,10
3983,1,10
4008,1,10
4028,1,10
4033,1,10
4039,1,10
4056,1,10
4060,1,10
4235,1,10
4259,1,10
4268,1,10
4271,1,10
4347,1,10
4360,1,10
4377,1,10
4392,1,10
4407,1,10
4418,1,10
4433,1,10
4443,1,10
4462,1,10
4476,1,10
4503,1,10
4512,1,10
4521,1,10
4526,1,10
4528,1,10
4552,1,10
4564,1,10
4587,1,10
4630,1,10
4633,1,10
4645,1,10
4689,1,10
4706,1,10
4810,1,10
4827,1,10
4836,1,10
4874,1,10
4899,1,10
4916,1,10
4937,1,10
4944,1,10
4996,1,10
5004,1,10
5108,1,10
5143,1,10
5163,1,10
5190,1,10
5240,1,10
5260,1,10
5286,1,10
5319,1,10
5340,1,10
5350,1,10
5379,1,10
5423,1,10
5440,1,10
5484,1,10
5501,1,10
5553,1,10
5623,1,10
5671,1,10
5681,1,10
5808,1,10
5812,1,10
5814,1,10
5841,1,10
5855,1,10
5946,1,10
5956,1,10
5982,1,10
6003,1,10
6015,1,10
6042,1,10
6166,1,10
6180,1,10
6182,1,10
6263,1,10
6394,1,10
6410,1,10
6468,1,10
6472,1,10
6497,1,10
6513,1,10
6543,1,10
6614,1,10
6738,1,10
6753,1,10
6762,1,10
6766,1,10
6780,1,10
6790,1,10
6872,1,10
7026,1,10
7099,1,10
7147,1,10
7211,1,10
7254,1,10
7293,1,10
7300,1,10
7312,1,10
7334,1,10
7366,1,10
7369,1,10
7408,1,10
7431,1,10
7470,1,10
7471,1,10
7486,1,10
7516,1,10
7545,1,10
7646,1,10
7714,1,10
7743,1,10
7780,1,10
7872,1,10
7911,1,10
7918,1,10
7985,1,10
8043,1,10
8090,1,10
8136,1,10
8182,1,10
8185,1,10
8207,1,10
8208,1,10
8210,1,10
8227,1,10
8242,1,10
8247,1,10
8306,1,10
8309,1,10
8323,1,10
8372,1,10
8440,1,10
8466,1,10
8497,1,10
8503,1,10
8513,1,10
8561,1,10
8582,1,10
8586,1,10
8645,1,10
8701,1,10
8702,1,10
8745,1,10
8760,1,10
8761,1,10
8762,1,10
8818,1,10
8883,1,10
8921,1,10
8941,1,10
8965,1,10
9011,1,10
9030,1,10
9060,1,10
9062,1,10
9063,1,10
9131,1,10
9158,1,10
9170,1,10
9180,1,10
9196,1,10
9220,1,10
9249,1,10
9271,1,10
9301,1,10
9354,1,10
9366,1,10
9374,1,10
9404,1,10
9436,1,10
9450,1,10
9515,1,10
9524,1,10
9539,1,10
9565,1,10
9646,1,10
9685,1,10
9688,1,10
9695,1,10
9698,1,10
9734,1,10
9790,1,10
9858,1,10
9868,1,10
9894,1,10
9912,1,10
9915,1,10
9941,1,10
9946,1,10
9950,1,10
9957,1,10
10012,1,10
10034,1,10
10057,1,10
10110,1,10
10139,1,10
10198,1,10
10209,1,10
10398,1,10
10403,1,10
10407,1,10
10429,1,10
10464,1,10
10547,1,10
10574,1,10
10577,1,10
10609,1,10
10630,1,10
10631,1,10
10655,1,10
10710,1,10
10722,1,10
10746,1,10
10754,1,10
10837,1,10
10861,1,10
10905,1,10
10906,1,10
10929,1,10
10940,1,10
10972,1,10
10980,1,10
11009,1,10
11025,1,10
11033,1,10
11074,1,10
11082,1,10
11146,1,10
11175,1,10
11192,1,10
11194,1,10
11239,1,10
11241,1,10
11330,1,10
11373,1,10
11381,1,10
11396,1,10
11448,1,10
11508,1,10
11555,1,10
11569,1,10
11591,1,10
11606,1,10
11612,1,10
11633,1,10
11683,1,10
11689,1,10
11722,1,10
11739,1,10
11742,1,10
11810,1,10
11822,1,10
11859,1,10
11914,1,10
11920,1,10
11992,1,10
12026,1,10
12058,1,10
12140,1,10
12195,1,10
12222,1,10
12231,1,10
12279,1,10
12290,1,10
12360,1,10
12450,1,10
12536,1,10
12550,1,10
12556,1,10
12596,1,10
12632,1,10
12650,1,10
12657,1,10
12661,1,10
12684,1,10
12844,1,10
12917,1,10
12924,1,10
12938,1,10
12973,1,10
12978,1,10
13076,1,10
13082,1,10
13108,1,10
13158,1,10
13170,1,10
13214,1,10
13227,1,10
13340,1,10
13350,1,10
13355,1,10
13367,1,10
13399,1,10
